
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.34,-.50,-.22,-.28,-.05,-.14,-.16,-.24,-.21,-.30,-.41,-.39,-.27,***,***,-.18,-.18,-.31
1881,-.29,-.21,-.03,.02,.05,-.31,.10,-.02,-.25,-.41,-.35,-.21,-.16,-.17,-.30,.01,-.08,-.34
1882,.29,.23,.04,-.30,-.23,-.28,-.25,-.12,-.22,-.50,-.31,-.66,-.19,-.16,.10,-.16,-.22,-.35
1883,-.56,-.64,-.14,-.27,-.23,-.11,-.02,-.20,-.30,-.14,-.40,-.14,-.26,-.30,-.62,-.21,-.11,-.28
1884,-.16,-.08,-.61,-.58,-.36,-.41,-.42,-.47,-.43,-.43,-.56,-.46,-.41,-.39,-.12,-.52,-.43,-.47
1885,-1.00,-.43,-.21,-.47,-.56,-.43,-.32,-.38,-.37,-.34,-.36,-.09,-.41,-.44,-.63,-.41,-.38,-.36
1886,-.72,-.81,-.69,-.35,-.31,-.35,-.12,-.41,-.31,-.29,-.37,-.19,-.41,-.40,-.54,-.45,-.29,-.32
1887,-1.06,-.68,-.41,-.36,-.23,-.18,-.22,-.52,-.18,-.46,-.25,-.42,-.41,-.40,-.64,-.33,-.31,-.30
1888,-.46,-.58,-.61,-.19,-.13,.00,.02,-.18,-.17,-.01,.02,-.21,-.21,-.23,-.49,-.31,-.05,-.05
1889,-.24,.33,.00,.18,-.01,-.04,-.06,-.19,-.28,-.40,-.60,-.53,-.15,-.13,-.04,.05,-.10,-.43
1890,-.62,-.58,-.46,-.23,-.34,-.14,-.22,-.38,-.33,-.08,-.62,-.45,-.37,-.38,-.58,-.34,-.25,-.35
1891,-.44,-.67,-.14,-.34,-.14,-.11,-.10,-.11,-.07,-.27,-.51,-.02,-.24,-.28,-.52,-.21,-.11,-.28
1892,-.48,-.14,-.66,-.43,-.22,-.04,-.36,-.32,-.19,-.27,-.81,-.64,-.38,-.33,-.22,-.44,-.24,-.42
1893,-1.50,-.95,-.30,-.28,-.43,-.18,-.12,-.32,-.27,-.27,-.33,-.60,-.46,-.47,-1.03,-.34,-.21,-.29
1894,-.90,-.40,-.19,-.52,-.25,-.39,-.19,-.25,-.31,-.26,-.46,-.34,-.37,-.39,-.63,-.32,-.28,-.34
1895,-.68,-.79,-.47,-.16,-.28,-.18,-.16,-.25,-.04,-.07,-.10,-.20,-.28,-.29,-.60,-.30,-.20,-.07
1896,-.33,-.17,-.48,-.58,-.15,.09,.02,-.10,-.11,.07,-.19,-.20,-.18,-.18,-.24,-.40,.01,-.08
1897,-.38,-.41,-.39,-.03,.15,-.05,.06,-.05,-.05,-.13,-.25,-.26,-.15,-.14,-.33,-.09,-.01,-.14
1898,.09,-.41,-.77,-.25,-.25,-.05,-.09,-.14,-.15,-.34,-.49,-.24,-.26,-.26,-.19,-.42,-.10,-.33
1899,-.10,-.63,-.57,-.21,-.23,-.34,-.15,-.05,-.03,.06,.38,-.44,-.19,-.18,-.33,-.34,-.18,.14
1900,-.59,-.12,.07,-.08,-.02,-.08,-.09,-.07,-.01,.25,-.10,-.01,-.07,-.11,-.38,-.01,-.08,.05
1901,-.32,-.08,.29,.13,-.10,.03,.03,-.14,-.26,-.30,-.21,-.40,-.11,-.08,-.14,.11,-.03,-.25
1902,-.15,.02,-.39,-.38,-.38,-.36,-.32,-.27,-.32,-.29,-.44,-.59,-.32,-.31,-.18,-.38,-.32,-.35
1903,-.20,.13,-.13,-.45,-.42,-.44,-.43,-.54,-.48,-.48,-.41,-.55,-.37,-.37,-.22,-.33,-.47,-.46
1904,-.76,-.58,-.40,-.48,-.42,-.47,-.57,-.52,-.62,-.38,-.08,-.33,-.47,-.49,-.63,-.43,-.52,-.36
1905,-.40,-.81,-.22,-.45,-.27,-.26,-.20,-.22,-.18,-.26,.09,-.15,-.28,-.29,-.51,-.32,-.23,-.12
1906,-.54,-.52,-.18,.05,-.24,-.11,-.25,-.15,-.24,-.17,-.39,.05,-.22,-.24,-.41,-.12,-.17,-.27
1907,-.57,-.70,-.29,-.43,-.58,-.50,-.40,-.37,-.40,-.20,-.56,-.56,-.46,-.41,-.41,-.43,-.42,-.38
1908,-.51,-.24,-.71,-.48,-.29,-.30,-.34,-.55,-.31,-.44,-.61,-.53,-.44,-.45,-.44,-.49,-.40,-.45
1909,-.92,-.46,-.68,-.64,-.48,-.50,-.43,-.34,-.35,-.32,-.13,-.54,-.48,-.48,-.64,-.60,-.42,-.27
1910,-.34,-.36,-.48,-.40,-.29,-.45,-.37,-.39,-.43,-.30,-.56,-.81,-.43,-.41,-.41,-.39,-.40,-.43
1911,-.70,-.59,-.65,-.45,-.45,-.33,-.36,-.43,-.38,-.19,-.20,-.30,-.42,-.46,-.70,-.51,-.37,-.25
1912,-.35,-.16,-.60,-.15,-.11,-.12,-.51,-.76,-.81,-.83,-.50,-.56,-.45,-.43,-.27,-.29,-.46,-.71
1913,-.56,-.64,-.47,-.50,-.54,-.48,-.51,-.45,-.42,-.38,-.14,.11,-.42,-.47,-.59,-.51,-.48,-.31
1914,.17,-.10,-.35,-.38,-.18,-.22,-.33,-.27,-.30,.00,-.22,-.05,-.19,-.17,.06,-.31,-.27,-.17
1915,-.25,-.09,-.23,.08,-.01,-.12,-.09,-.15,-.21,-.26,-.03,-.26,-.14,-.12,-.13,-.06,-.12,-.17
1916,-.09,-.16,-.38,-.34,-.35,-.50,-.33,-.37,-.49,-.35,-.46,-1.14,-.41,-.34,-.17,-.36,-.40,-.44
1917,-.54,-.68,-.75,-.64,-.72,-.48,-.32,-.40,-.31,-.62,-.32,-1.05,-.57,-.58,-.79,-.70,-.40,-.42
1918,-.69,-.46,-.25,-.58,-.48,-.45,-.33,-.36,-.25,-.04,-.21,-.56,-.39,-.43,-.73,-.44,-.38,-.17
1919,-.37,-.41,-.38,-.22,-.41,-.39,-.33,-.29,-.19,-.09,-.47,-.55,-.34,-.34,-.45,-.34,-.34,-.25
1920,-.14,-.28,.01,-.20,-.21,-.25,-.25,-.32,-.35,-.40,-.45,-.71,-.30,-.28,-.32,-.13,-.27,-.40
1921,.18,-.09,-.11,-.17,-.24,-.14,-.03,-.29,-.18,.00,-.09,-.13,-.11,-.16,-.21,-.17,-.15,-.09
1922,-.37,-.63,-.11,-.15,-.19,-.15,-.28,-.36,-.43,-.32,-.13,-.14,-.27,-.27,-.38,-.15,-.26,-.30
1923,-.18,-.47,-.39,-.52,-.38,-.23,-.28,-.27,-.17,.06,.16,.10,-.21,-.23,-.26,-.43,-.26,.02
1924,-.28,-.21,.03,-.28,-.05,-.19,-.21,-.26,-.22,-.23,.11,-.36,-.18,-.14,-.13,-.10,-.22,-.12
1925,-.28,-.39,-.23,-.15,-.21,-.25,-.25,-.19,-.04,-.08,.22,.23,-.14,-.18,-.34,-.20,-.23,.03
1926,.53,.19,.37,-.11,-.22,-.19,-.19,-.05,-.01,.07,.18,-.28,.02,.07,.31,.01,-.14,.08
1927,-.28,-.08,-.46,-.27,-.12,-.13,-.07,-.16,.03,.25,.10,-.37,-.13,-.12,-.21,-.28,-.12,.13
1928,.27,.09,-.22,-.29,-.16,-.30,-.09,-.18,-.14,-.07,.05,-.03,-.09,-.12,.00,-.23,-.19,-.05
1929,-.56,-.79,-.19,-.34,-.27,-.39,-.35,-.19,-.20,-.01,-.03,-.65,-.33,-.28,-.46,-.26,-.31,-.08
1930,-.11,-.19,.11,-.15,-.19,-.11,-.02,.02,-.02,.02,.44,.08,-.01,-.07,-.32,-.08,-.04,.15
1931,.00,-.24,-.06,-.19,-.14,.15,.07,.08,.16,.36,.26,.09,.05,.04,-.05,-.13,.10,.26
1932,.38,-.19,-.20,.09,-.10,-.15,-.15,-.08,.11,.14,-.32,-.21,-.06,-.03,.09,-.07,-.12,-.03
1933,-.19,-.30,-.32,-.17,-.27,-.32,-.13,-.14,-.28,-.17,-.24,-.54,-.26,-.23,-.23,-.25,-.20,-.23
1934,-.14,.33,-.27,-.29,.08,-.02,-.04,-.10,-.14,.13,.27,.18,.00,-.06,-.12,-.16,-.05,.09
1935,-.40,.56,.03,-.34,-.29,-.15,-.04,-.07,-.06,.12,-.32,-.17,-.09,-.06,.11,-.20,-.09,-.08
1936,-.29,-.50,-.13,-.05,-.01,.04,.08,.03,.06,.07,.14,.15,-.03,-.06,-.32,-.06,.05,.09
1937,.09,.23,-.23,-.07,.12,.15,.15,.16,.28,.33,.24,-.01,.12,.13,.16,-.06,.15,.29
1938,.34,.27,.33,.31,.03,-.07,-.02,.08,.14,.32,.30,-.14,.16,.17,.20,.22,.00,.25
1939,.03,-.01,-.24,-.07,.01,.00,.05,.08,.13,.08,.24,.79,.09,.01,-.04,-.10,.04,.15
1940,-.10,.14,.03,.28,.17,.16,.15,.07,.27,.29,.30,.36,.18,.21,.27,.16,.13,.28
1941,.18,.47,.12,.12,.24,.21,.25,.19,.10,.50,.18,.19,.23,.24,.34,.16,.22,.26
1942,.40,-.08,-.01,.09,.17,.10,-.01,-.08,.11,.28,.26,.27,.13,.12,.17,.08,.01,.21
1943,-.10,.38,.00,.31,.23,-.07,-.02,.10,.14,.46,.36,.37,.18,.17,.18,.18,.00,.32
1944,.62,.43,.31,.18,.23,.17,.14,.17,.35,.44,.19,-.01,.27,.30,.48,.24,.16,.33
1945,.11,-.06,.09,.29,.08,.08,.06,.28,.20,.24,.09,-.21,.10,.12,.01,.15,.14,.17
