
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.03,.06,-.01,-.13,-.25,-.17,.07,-.05,-.15,.00,.05,-.05,***,***,-.03,-.12,-.07
1881,-.08,-.06,.09,.10,.08,-.05,-.08,-.02,-.05,-.01,.00,.09,.00,.00,-.03,.09,-.05,-.02
1882,.07,.07,.07,-.01,-.04,-.15,-.05,.01,-.05,.03,-.01,-.07,-.01,.00,.08,.00,-.06,-.01
1883,-.02,-.08,-.09,-.07,-.10,-.03,-.09,-.05,-.11,-.06,-.04,-.06,-.07,-.07,-.06,-.09,-.06,-.07
1884,-.08,-.05,-.10,-.21,-.32,-.29,-.22,-.07,-.12,-.07,-.10,-.15,-.15,-.14,-.06,-.21,-.19,-.09
1885,-.19,-.23,-.30,-.35,-.33,-.43,-.34,-.22,-.20,-.13,-.11,-.09,-.24,-.25,-.19,-.33,-.33,-.15
1886,-.14,-.20,-.17,-.20,-.16,-.32,-.22,-.19,-.15,-.24,-.15,-.28,-.20,-.19,-.14,-.17,-.24,-.18
1887,-.36,-.44,-.28,-.31,-.35,-.28,-.27,-.17,-.30,-.23,-.25,-.23,-.29,-.29,-.36,-.31,-.24,-.26
1888,-.21,-.13,-.22,-.20,-.30,-.32,-.21,-.10,-.06,.05,.06,.14,-.12,-.16,-.19,-.24,-.21,.02
1889,.08,.02,.12,.02,.01,-.14,-.08,-.20,-.18,-.11,-.06,-.04,-.05,-.03,.08,.05,-.14,-.12
1890,-.21,-.33,-.34,-.35,-.44,-.34,-.33,-.39,-.39,-.40,-.25,-.17,-.33,-.32,-.19,-.38,-.35,-.35
1891,-.21,-.26,-.21,-.19,-.18,-.29,-.24,-.22,-.24,-.17,-.11,-.06,-.20,-.21,-.21,-.20,-.25,-.17
1892,-.09,-.06,-.15,-.22,-.24,-.39,-.27,-.22,-.14,-.01,-.03,-.12,-.16,-.16,-.07,-.20,-.29,-.06
1893,-.13,-.18,-.13,-.24,-.25,-.33,-.15,-.18,-.17,-.09,-.04,-.03,-.16,-.17,-.14,-.21,-.22,-.10
1894,-.14,-.16,-.25,-.35,-.36,-.41,-.27,-.21,-.23,-.18,-.04,-.07,-.22,-.22,-.11,-.32,-.30,-.15
1895,-.13,-.06,-.17,-.25,-.25,-.22,-.15,-.07,-.19,-.13,-.21,-.06,-.16,-.16,-.09,-.22,-.15,-.17
1896,-.09,-.07,-.04,-.01,-.16,-.29,-.06,.00,-.03,.08,.12,.12,-.04,-.05,-.07,-.07,-.12,.06
1897,.09,.07,.11,.00,-.17,-.17,-.09,-.12,-.11,-.11,-.10,-.13,-.06,-.04,.09,-.02,-.13,-.11
1898,-.10,-.16,-.24,-.34,-.34,-.31,-.34,-.36,-.27,-.33,-.26,-.21,-.27,-.26,-.13,-.31,-.34,-.28
1899,-.20,-.13,-.14,-.17,-.23,-.28,-.16,-.11,-.06,-.13,-.10,-.06,-.15,-.16,-.18,-.18,-.18,-.10
1900,-.10,.02,-.05,-.08,-.14,-.09,-.13,-.08,-.07,-.02,.00,-.10,-.07,-.07,-.05,-.09,-.10,-.03
1901,-.11,-.13,-.15,-.15,-.19,-.25,-.30,-.24,-.18,-.27,-.13,-.15,-.19,-.18,-.11,-.17,-.27,-.19
1902,-.19,-.15,-.18,-.18,-.26,-.23,-.23,-.31,-.25,-.27,-.26,-.23,-.23,-.22,-.16,-.21,-.26,-.26
1903,-.24,-.23,-.31,-.36,-.37,-.40,-.28,-.36,-.51,-.48,-.44,-.47,-.37,-.35,-.23,-.35,-.35,-.48
1904,-.52,-.57,-.58,-.51,-.61,-.49,-.44,-.44,-.49,-.40,-.27,-.32,-.47,-.48,-.52,-.56,-.46,-.39
1905,-.28,-.36,-.21,-.22,-.30,-.28,-.31,-.17,-.19,-.22,-.22,-.08,-.24,-.26,-.32,-.24,-.25,-.21
1906,.01,-.05,-.18,-.15,-.28,-.29,-.20,-.24,-.34,-.24,-.36,-.34,-.22,-.20,-.04,-.20,-.24,-.31
1907,-.28,-.30,-.25,-.29,-.36,-.33,-.31,-.29,-.29,-.27,-.37,-.36,-.31,-.31,-.31,-.30,-.31,-.31
1908,-.35,-.39,-.41,-.41,-.47,-.47,-.35,-.36,-.42,-.44,-.42,-.44,-.41,-.40,-.37,-.43,-.40,-.43
1909,-.51,-.47,-.42,-.53,-.60,-.53,-.46,-.33,-.42,-.47,-.53,-.56,-.49,-.48,-.47,-.52,-.44,-.47
1910,-.49,-.45,-.53,-.45,-.39,-.32,-.32,-.34,-.35,-.51,-.53,-.53,-.43,-.44,-.50,-.46,-.33,-.46
1911,-.53,-.56,-.58,-.62,-.58,-.66,-.47,-.45,-.44,-.34,-.21,-.11,-.46,-.50,-.54,-.59,-.53,-.33
1912,-.15,-.12,-.15,-.18,-.30,-.32,-.32,-.31,-.35,-.30,-.25,-.29,-.25,-.24,-.12,-.21,-.32,-.30
1913,-.25,-.25,-.39,-.29,-.33,-.40,-.21,-.20,-.27,-.24,-.24,-.15,-.27,-.28,-.26,-.34,-.27,-.25
1914,-.07,-.09,-.13,-.20,-.24,-.28,-.14,-.05,-.04,-.05,-.08,-.02,-.12,-.13,-.10,-.19,-.16,-.06
1915,-.13,.02,.04,.06,-.11,-.30,-.14,-.28,-.20,-.21,-.23,-.18,-.14,-.13,-.04,.00,-.24,-.21
1916,-.16,-.13,-.18,-.27,-.34,-.48,-.41,-.20,-.25,-.32,-.48,-.52,-.31,-.28,-.16,-.26,-.37,-.35
1917,-.63,-.59,-.54,-.47,-.39,-.39,-.20,-.07,-.17,-.28,-.36,-.29,-.36,-.38,-.58,-.47,-.22,-.27
1918,-.27,-.24,-.26,-.30,-.38,-.29,-.29,-.27,-.10,-.07,.02,-.01,-.20,-.23,-.27,-.32,-.28,-.05
1919,-.01,-.05,-.03,-.01,-.14,-.32,-.26,-.38,-.32,-.32,-.35,-.28,-.21,-.18,-.02,-.06,-.32,-.33
1920,-.34,-.24,-.25,-.27,-.33,-.45,-.35,-.21,-.09,-.14,-.08,-.21,-.25,-.25,-.29,-.29,-.34,-.10
1921,-.29,-.28,-.37,-.44,-.36,-.39,-.27,-.22,-.20,-.05,-.17,-.22,-.27,-.27,-.26,-.39,-.29,-.14
1922,-.28,-.26,-.19,-.30,-.48,-.45,-.28,-.29,-.30,-.34,-.17,-.24,-.30,-.30,-.25,-.32,-.34,-.27
1923,-.37,-.32,-.30,-.28,-.29,-.34,-.33,-.38,-.44,-.32,-.19,-.17,-.31,-.32,-.31,-.29,-.35,-.32
1924,-.16,-.25,-.19,-.33,-.30,-.33,-.35,-.46,-.42,-.47,-.53,-.51,-.36,-.33,-.19,-.27,-.38,-.47
1925,-.50,-.43,-.33,-.35,-.37,-.39,-.27,-.21,-.34,-.25,-.11,-.08,-.30,-.34,-.48,-.35,-.29,-.23
1926,-.11,-.12,-.15,-.11,-.22,-.29,-.33,-.19,-.24,-.27,-.28,-.28,-.22,-.20,-.10,-.16,-.27,-.26
1927,-.25,-.28,-.31,-.35,-.38,-.41,-.30,-.31,-.28,-.25,-.19,-.26,-.30,-.30,-.27,-.35,-.34,-.24
1928,-.28,-.26,-.26,-.23,-.42,-.44,-.29,-.26,-.27,-.30,-.22,-.29,-.29,-.29,-.27,-.30,-.33,-.26
1929,-.33,-.37,-.47,-.47,-.49,-.48,-.39,-.44,-.30,-.27,-.19,-.41,-.38,-.37,-.33,-.48,-.43,-.25
1930,-.47,-.34,-.34,-.33,-.29,-.32,-.37,-.30,-.28,-.24,-.07,-.17,-.29,-.31,-.41,-.32,-.33,-.20
1931,-.18,-.16,-.13,-.23,-.23,-.29,-.14,-.16,-.29,-.25,-.35,-.20,-.22,-.21,-.17,-.19,-.20,-.30
1932,-.10,-.16,-.16,-.20,-.25,-.42,-.34,-.34,-.31,-.31,-.21,-.30,-.26,-.25,-.15,-.20,-.37,-.28
1933,-.27,-.27,-.27,-.31,-.32,-.37,-.30,-.32,-.31,-.33,-.38,-.35,-.32,-.31,-.28,-.30,-.33,-.34
1934,-.30,-.40,-.33,-.33,-.28,-.28,-.18,-.15,-.17,-.26,-.20,-.23,-.26,-.27,-.35,-.31,-.20,-.21
1935,-.27,-.30,-.32,-.38,-.30,-.39,-.39,-.37,-.35,-.22,-.19,-.17,-.30,-.31,-.26,-.33,-.38,-.25
1936,-.26,-.25,-.30,-.33,-.32,-.47,-.29,-.28,-.25,-.13,-.12,-.18,-.26,-.26,-.22,-.32,-.35,-.17
